flow_ID proc_time
9351 313
54032 5479
9351 8151
54032 5314
54032 14753
9351 2502
54032 3773
54032 11060
54032 5343
9351 3847
54032 6418
9351 3787
54032 3934
9351 3772
54032 3895
9351 4786
54032 5123
9351 4959
44167 2149
29459 6579
44167 7189
29459 3824
29459 8205
44167 6402
44167 5322
29459 4039
44167 4085
29459 4926
29459 5397
44167 3966
29459 6417
44167 4383
29459 3914
44167 3936
29459 3916
44167 3979
29459 3877
44167 4986
5254 5202
4882 3926
5254 3938
5254 7085
4882 3773
4882 62
5254 3104
5254 4194
4882 4399
4882 7178
5254 4011
4882 4206
5254 3904
4882 6446
5254 4357
4882 3901
5254 3950
4882 3895
5254 3924
64644 4995
29462 5249
64644 4022
64644 6914
29462 4302
29462 8086
64644 6127
64644 4353
64644 6263
29462 382
29462 6278
64644 5128
29462 4185
64644 4209
29462 6351
64644 3774
64644 4809
29462 5135
64644 3870
17541 4061
4887 4252
17541 5348
17541 7826
4887 4737
4887 7247
17541 5767
17541 3980
17541 4063
17541 6427
4887 3893
4887 3807
4887 4751
4887 6343
17541 4251
4887 6442
17541 3886
4887 3865
17541 957
52357 3849
45844 4797
52357 6188
52357 5216
45844 5188
4887 4277
17541 3786
45844 8029
52357 6070
52357 3949
52357 6423
45844 7675
45844 6538
52357 4991
45844 4041
52357 3948
45844 6414
52357 3917
52357 3920
29828 3829
54037 4794
29828 3952
29828 6792
54037 5379
45844 3971
52357 3868
54037 7650
29828 5438
29828 3897
29828 6336
29828 3972
54037 2689
54037 5240
54037 4203
29828 4928
54037 6424
29828 3818
54037 3913
29828 1612
40073 4974
45829 6497
40073 4224
40073 7105
45829 5278
54037 5094
29828 3882
45829 7870
40073 214
45829 1940
45829 4163
40073 3917
45829 6384
40073 4325
45829 4080
40073 4082
40073 3945
9352 4903
54020 5261
9352 3907
9352 7208
54020 3945
45829 3943
40073 3789
54020 7408
9352 5041
9352 6218
9352 4091
9352 6355
54020 2054
54020 4241
54020 6256
9352 4885
54020 4939
9352 5187
54020 3903
9352 3838
9352 3796
44168 4237
29447 3787
44168 4959
44168 7322
29447 5679
54020 4019
9352 3862
29447 7583
44168 3997
29447 4960
44168 5337
29447 3945
29447 6380
44168 4018
29447 4034
44168 3982
29447 6265
44168 3833
29447 4742
44168 3792
29447 3773
44168 3758
5257 3824
4870 4939
5257 5276
5257 8353
4870 6585
4870 7974
5257 6060
5257 4056
5257 6589
4870 4171
4870 4232
4870 6737
5257 4001
4870 4663
5257 4060
4870 6939
5257 4012
4870 4068
5257 3941
4870 4120
5257 4050
64651 3912
29442 4028
64651 4918
64651 6755
29442 4502
29442 7445
64651 5578
64651 3916
29442 3908
64651 6382
29442 3928
29442 5462
64651 3926
29442 5841
64651 6305
29442 6615
64651 357
29442 4020
64651 3998
17546 3949
4867 3912
17546 3900
17546 6817
4867 5245
4867 7322
17546 5555
17546 4097
17546 6569
17546 3996
4867 3932
4867 3720
4867 3744
4867 6091
17546 3831
4867 5626
17546 5038
4867 3698
17546 3676
17546 3768
52362 4126
45824 3627
52362 4640
52362 6608
45824 3699
4867 5123
17546 5696
45824 7483
52362 3683
52362 3963
52362 6253
45824 3674
45824 3648
45824 6285
52362 4920
45824 3781
52362 4207
45824 6069
52362 3655
52362 3795
29835 3676
54017 4134
29835 3667
29835 6872
54017 4374
45824 3849
52362 4592
54017 6821
29835 3713
29835 3776
29835 6086
54017 351
54017 3916
29835 4638
54017 5352
29835 3663
54017 7086
29835 5143
54017 7443
29835 4684
54017 6573
29835 5136
54017 6565
29835 5551
54017 6578
29835 4888
54017 7337
29835 5420
54017 8190
29835 6236
54017 6451
29835 4030
54017 6536
29835 5414
54017 7407
29835 3881
54017 3627
29835 3623
23693 3716
29448 3656
23693 3681
23693 6498
29448 3977
29448 8248
23693 6295
23693 4166
29448 3932
23693 6289
29448 3822
23693 8138
29448 4697
29448 4868
23693 5709
29448 3861
23693 3678
29448 4906
23693 5084
29448 3690
23693 4185
29448 3800
23693 4072
58508 3655
4873 3690
58508 4655
58508 6462
4873 3781
4873 8289
58508 6380
58508 3897
4873 3774
58508 6182
4873 3693
4873 4213
58508 4751
4873 5172
58508 3708
4873 3827
58508 4710
4873 5323
58508 3643
4873 3872
58508 5605
27788 3796
45834 3657
27788 3668
27788 6525
45834 3627
45834 7269
27788 5285
27788 3711
45834 3799
27788 6207
45834 3742
45834 3877
27788 3736
45834 6152
27788 3758
45834 4808
27788 5041
45834 3830
27788 3661
45834 3772
27788 3937
54413 3802
54027 3692
54413 5057
54413 6479
54027 5164
54027 7066
54413 5959
54413 3704
54027 3768
54413 6163
54027 5287
54413 4187
54027 3650
54027 6168
54413 3660
54027 4787
54413 5033
54027 3765
54413 3678
54027 3659
54413 3740
54027 3656
54413 4760
15503 4994
45839 3903
15503 4080
15503 6426
45839 3671
45839 7929
15503 5952
15503 3801
45839 5194
15503 5144
45839 3906
45839 6203
15503 3795
45839 3892
15503 4628
45839 5258
15503 3797
15503 3645
45839 3768
15503 4086
33934 4669
54030 5005
33934 3682
33934 6826
54030 3741
54030 7230
33934 5387
33934 3666
33934 6099
33934 3743
54030 5039
54030 262
54030 1074
33934 4911
33934 3765
54030 3851
33934 3699
54030 3637
33934 3656
54030 3653
33934 3716
3214 4356
29453 3646
3214 3726
3214 6818
29453 7116
3214 4964
3214 4301
3214 4495
29453 1520
29453 5056
3214 3644
29453 6144
3214 3756
29453 3939
3214 3685
3214 4679
29453 5015
3214 4038
46223 3617
4876 3657
46223 3817
46223 7058
4876 4109
4876 7352
46223 4422
46223 5057
4876 3797
4876 3954
46223 3706
4876 6400
46223 3820
46223 6176
4876 3822
46223 3798
4876 3656
4876 6119
46223 3626
4876 3862
46223 4775
4876 3650
46223 3910
40087 3758
45869 6238
40087 3766
40087 6820
45869 5368
45869 7652
40087 5905
40087 3694
45869 4086
45869 6164
40087 4080
45869 4777
40087 5111
40087 3945
45869 3732
45869 6440
40087 3654
45869 4724
40087 3663
45869 3834
40087 3689
9366 4805
54060 5012
9366 3699
9366 6836
54060 4891
54060 7529
9366 5863
9366 3737
54060 5731
9366 5346
54060 4083
9366 6083
54060 3654
54060 3980
9366 3903
54060 6129
9366 3820
54060 3752
9366 3816
54060 4901
9366 4994
54060 3727
9366 3811
44182 3638
29487 3712
44182 3670
44182 6825
29487 4308
29487 7745
44182 4756
44182 5256
29487 3656
44182 3782
29487 4746
29487 5164
44182 3628
29487 6136
44182 3915
29487 4010
44182 3713
44182 6093
29487 5280
44182 3617
5271 3700
4910 3675
5271 3994
5271 7061
4910 5645
4910 7613
5271 5194
5271 5072
5271 3939
5271 6183
4910 3738
4910 4517
4910 3705
4910 6822
5271 3805
4910 4856
5271 5077
4910 3830
5271 3880
5271 3837
64661 3852
29482 3777
64661 4816
64661 8604
29482 6683
4910 5171
5271 4122
29482 7159
64661 5144
64661 6725
64661 6190
29482 3686
29482 3644
29482 6183
64661 3829
29482 3848
64661 3680
29482 6312
64661 4208
64661 4703
29482 3700
64661 3890
17556 3662
4907 6136
17556 4001
17556 6551
4907 4383
4907 7425
17556 5585
17556 3807
17556 6197
17556 5109
4907 3674
4907 3224
4907 3819
17556 3855
4907 6533
17556 3851
4907 3719
17556 4850
4907 6161
17556 3969
4907 4397
17556 3710
52372 3813
45864 3885
52372 3923
52372 6636
45864 4075
45864 8296
52372 6213
52372 3957
52372 4976
45864 5185
45864 3683
45864 3985
52372 3645
45864 6677
52372 3851
45864 4055
52372 4269
45864 4929
52372 5789
45864 3765
52372 4149
29845 3705
54057 3863
29845 3811
29845 8041
54057 5760
54057 7769
29845 5530
29845 6765
29845 4155
54057 2428
54057 5297
29845 3748
54057 6222
29845 3832
54057 3865
29845 3924
54057 3923
29845 4685
54057 5169
29845 3871
23699 3962
29472 3821
23699 3666
23699 6654
29472 3698
29472 8666
23699 6838
23699 5621
23699 4545
29472 3963
29472 4220
29472 6232
23699 3822
29472 4802
23699 5362
29472 4089
23699 3799
23699 3976
29472 5685
23699 5316
58514 3660
4897 3688
58514 3662
58514 7022
4897 3754
4897 8041
58514 5357
58514 6137
4897 3947
58514 3760
4897 3663
58514 6515
4897 3806
4897 4732
58514 4701
4897 5161
58514 4508
4897 5005
58514 294
27794 3800
45858 3820
27794 5235
27794 7169
45858 3784
4897 3845
58514 3816
45858 8287
27794 6451
27794 4025
27794 6419
45858 4105
45858 5576
45858 4006
27794 3822
45858 6401
27794 3869
45858 4129
27794 4985
45858 5116
27794 3845
45858 3880
27794 3649
54419 3790
54051 27423
54419 23870
54419 5680
54051 3852
54051 8437
54419 6295
54419 3854
54419 6444
54419 3898
54051 4383
54051 3682
54051 4311
54051 6255
54419 3754
54051 3902
54419 3734
54051 6059
54419 3817
54419 5280
15505 3638
45863 3857
15505 9528
15505 5816
45863 4204
54051 6204
54419 3870
45863 7917
15505 6875
15505 3788
15505 6275
45863 3765
45863 3917
45863 6190
15505 4866
45863 3924
15505 3628
54054 9241
33936 7261
33936 3873
33936 6235
33936 4844
54054 3783
54054 308
54054 5219
33936 3917
54054 6255
33936 3936
54054 3787
33936 596
3216 3866
29477 5226
3216 5176
3216 6488
29477 3957
54054 3992
33936 3742
29477 7401
3216 4738
3216 3695
3216 6466
29477 4570
29477 3786
29477 6160
3216 4251
29477 4005
3216 5089
29477 5165
3216 475
46225 4194
4900 4474
