flow_ID proc_time
6169 7210
710 4105
6169 4188
6169 8715
710 8441
710 5789
6169 11836
710 4627
6169 3107
710 3911
710 4027
6169 4018
6169 5104
61467 6098
25282 3820
61467 3791
61467 4342
25282 3776
710 7671
6169 6787
25282 7563
61467 4714
61467 3880
25282 3814
25282 6773
61467 5634
61467 4153
25282 61
61467 1032
18458 3799
707 5507
18458 4071
18458 5417
707 4012
25282 3943
61467 3861
707 9291
18458 2709
707 3960
707 4191
18458 4005
18458 4265
707 6628
707 4243
18458 6271
707 856
18458 4323
18458 3844
49178 3927
41664 4019
49178 3782
41664 4126
41664 6610
49178 4011
49178 3864
41664 2633
49178 3982
49178 4056
41664 5042
41664 5521
49178 4760
49178 6804
41664 9768
49178 7591
30747 5343
49857 3928
30747 4097
30747 4390
49857 3866
49857 9259
30747 6093
30747 4918
49857 4041
49857 5313
30747 4393
30747 3938
49857 4703
49857 3910
49857 4104
30747 592
20509 1236
25288 5142
20509 500
25288 3928
49857 4521
30747 4028
25288 6998
20509 3415
25288 4948
25288 4509
20509 3943
20509 4193
25288 2905
20509 1101
59420 4068
713 4232
59420 3959
59420 8606
713 7702
25288 5846
20509 3897
713 7045
59420 5274
59420 3983
713 4552
59420 4434
59420 4259
59420 5046
713 4906
713 954
59420 777
24604 3910
41674 3777
24604 5507
24604 9291
41674 6961
713 5913
59420 3880
41674 5155
24604 3944
24604 3852
41674 4362
24604 4009
24604 6428
41674 4381
41674 4000
24604 3950
24604 5746
41674 6550
24604 3734
55325 3946
49867 3963
55325 4950
55325 5618
49867 452
55325 4092
55325 3870
49867 3966
49867 3960
55325 6526
55325 5187
55325 3998
49867 3782
49867 3918
49867 4364
55325 6068
12319 7457
41679 5413
12319 3876
12319 4882
41679 4034
49867 4561
55325 4579
41679 5839
12319 700
41679 5237
41679 7402
12319 3592
41679 4390
41679 4018
12319 3792
41679 3977
12319 4812
41679 7934
12319 6555
34846 5273
49870 4270
34846 3834
34846 5397
49870 3830
49870 7963
34846 1789
49870 5229
49870 4089
34846 3896
34846 5021
49870 2620
34846 5015
49870 4373
34846 5651
49870 4359
34846 4128
30 5929
25293 5430
30 3961
30 4540
25293 3975
25293 7575
30 4927
25293 7094
25293 4065
30 5917
30 4018
25293 4962
25293 5342
30 3761
30 5146
25293 8008
30 4408
47135 3781
716 3963
47135 3935
47135 5281
716 3822
716 6320
47135 4670
47135 4562
716 3868
716 4010
47135 5309
47135 5502
716 908
716 3944
47135 3917
47135 8145
36871 5812
41709 6242
36871 4008
36871 5321
41709 5121
716 3824
47135 3732
41709 6770
36871 4622
36871 3966
41709 3902
41709 5131
36871 5900
36871 6602
41709 7319
41709 4573
36871 4419
41709 6320
36871 4323
41709 4202
36871 4397
41709 5595
36871 3818
41709 5464
36871 4530
41709 4500
36871 3779
41709 6644
36871 8914
41709 6195
36871 4940
41709 5422
36871 3758
41709 4341
36871 4130
41709 4241
36871 4733
41709 5309
36871 3794
41709 4165
36871 3797
41709 6370
36871 3710
36871 4125
41709 4150
36871 3790
10246 3683
49900 6044
10246 4764
49900 4741
49900 6321
10246 4485
10246 3803
49900 2090
10246 3661
10246 4799
49900 5108
10246 3885
49900 5076
10246 3711
10246 3896
40966 3765
25327 3746
40966 4691
40966 6088
25327 5315
49900 6012
10246 3741
25327 4980
40966 3662
40966 3736
25327 4201
40966 4975
40966 4021
25327 3827
25327 3714
40966 3690
40966 7476
6151 7188
750 3859
6151 1030
750 5175
25327 3690
40966 6956
750 5170
6151 3657
6151 3760
750 3666
750 4952
6151 5461
6151 5646
750 5285
750 3751
6151 3690
6151 3816
750 3700
6151 3724
61445 767
25322 6113
61445 4188
25322 3660
25322 4926
61445 3387
747 5458
747 4878
18436 3706
18436 3685
747 3677
747 6454
18436 4802
18436 3868
18436 3762
747 3688
747 4115
18436 5436
18436 5584
49156 3800
41704 3671
49156 3646
49156 4110
41704 9020
747 8055
18436 5077
41704 7396
49156 497
41704 3697
41704 6523
49156 5298
49156 6170
41704 4619
41704 3899
49156 781
30725 5295
49897 5935
30725 3632
30725 4238
49897 3782
41704 3784
49156 7230
49897 7194
30725 3795
30725 3977
49897 3914
49897 3911
30725 1048
49897 1237
49897 3987
30725 3801
49897 3776
30725 926
49897 5189
20483 3666
25312 3673
20483 4404
20483 5207
25312 5174
25312 6212
20483 3652
20483 3884
25312 3782
25312 5819
20483 5201
25312 5788
25312 3798
20483 3810
20483 3773
25312 3689
20483 5370
59394 5745
737 3637
59394 4657
59394 5483
737 3746
24578 3846
41698 5812
24578 3675
24578 3821
41698 4687
24578 4951
55299 3712
49891 6251
55299 5792
55299 4251
49891 3769
49891 5802
55299 3594
49891 2284
55299 4335
55299 3803
55299 3917
49891 3795
49891 5889
55299 6139
49891 3894
55299 3645
49891 4179
55299 4229
12289 3668
41703 6417
12289 3868
12289 4143
41703 4803
41703 6283
12289 3826
12289 7642
41703 2087
12289 3709
12289 3784
41703 3827
41703 4813
12289 5099
41703 3802
12289 3567
34816 3799
49894 3673
34816 3721
34816 9000
49894 7654
49894 4833
34816 4234
34816 3780
49894 3644
49894 4323
34816 6627
34816 4821
34816 5754
49894 3659
49894 3666
49894 3893
34816 3676
0 3751
25317 3733
0 3679
0 4995
25317 4988
49894 3719
34816 7715
25317 5568
0 3995
0 3989
25317 3882
25317 6844
0 4129
25317 3813
25317 3771
0 3871
0 4251
47105 3624
740 7422
47105 782
740 3661
25317 3702
0 3763
25332 7152
20492 5156
25332 6827
25332 4329
20492 3801
20492 3810
25332 3786
25332 5293
20492 81
59405 5001
757 3678
59405 4115
59405 4065
757 9833
25332 8537
20492 7147
757 6264
59405 4345
59405 5193
757 3054
59405 5872
59405 4297
757 4254
757 3757
59405 3674
59405 3727
757 6213
59405 4935
24589 3832
41718 3662
24589 3709
24589 3998
41718 3724
41718 7048
24589 238
41718 3837
41718 3806
24589 3670
24589 5869
41718 4870
24589 3747
24589 5083
41718 4988
24589 3696
55308 3729
49911 6753
55308 551
49911 3799
49911 7074
55308 418
49911 3736
49911 3906
55308 4269
55308 3962
49911 296
49911 10
55308 5100
55308 4143
12302 1512
41715 6532
12302 4095
41715 3681
49911 4163
55308 4625
34831 3791
34831 5911
49906 4867
49906 3986
34831 3638
34831 3769
34831 4722
49906 3894
49906 5734
34831 1949
15 3649
25329 3663
15 3663
15 4172
25329 6609
49906 5003
34831 4976
25329 5066
15 3620
15 3786
25329 4170
15 5543
15 5948
25329 3669
25329 3858
15 3626
15 7590
47118 752
752 5060
47118 4062
752 3709
25329 6008
15 5364
752 4992
47118 3954
47118 3723
752 4582
752 4899
47118 2587
47118 3914
752 586
752 3851
47118 4112
47118 6542
36872 5055
41721 4161
36872 4979
36872 4073
41721 3818
752 3822
47118 5021
41721 5015
36872 1186
41721 5093
41721 3967
36872 3715
36872 5734
41721 3875
41721 3785
36872 4230
36872 3770
10249 4653
49912 6561
10249 3014
49912 4372
41721 3654
36872 3624
49912 6909
10249 2121
49912 3756
49912 4231
10249 3672
10249 3824
10249 8127
49912 997
49912 5054
10249 3676
10249 4252
762 7436
6152 4965
6152 5000
762 4991
762 4773
6152 3796
6152 7199
762 310
6152 4699
6152 3975
762 4953
762 3831
6152 1270
762 210
6152 3667
61450 3700
25342 4819
61450 5049
61450 5778
25342 4356
25342 5760
61450 3895
61450 3755
25342 4309
25342 6757
61450 1389
